iter	Passed	Remaining
0	55	55424
1	56	27969
2	56	18793
3	57	14212
4	58	11568
5	58	9759
6	59	8444
7	60	7450
8	60	6676
9	61	6059
10	61	5552
11	62	5130
12	62	4772
13	63	4464
14	64	4222
15	65	4002
16	65	3796
17	66	3610
18	66	3444
19	67	3296
20	67	3162
21	68	3038
22	68	2925
23	69	2827
24	70	2732
25	70	2645
26	71	2565
27	71	2493
28	72	2422
29	72	2358
30	73	2296
31	73	2237
32	74	2182
33	75	2131
34	75	2082
35	76	2036
36	76	1993
37	77	1956
38	77	1918
39	78	1882
40	78	1847
41	79	1814
42	80	1783
43	80	1753
44	81	1723
45	81	1695
46	82	1667
47	82	1642
48	83	1617
49	83	1593
50	84	1570
51	84	1547
52	85	1536
53	86	1519
54	87	1501
55	87	1482
56	88	1464
57	89	1446
58	89	1430
59	90	1413
60	90	1397
61	91	1382
62	91	1368
63	92	1356
64	93	1342
65	93	1329
66	94	1314
67	94	1302
68	95	1288
69	96	1276
70	96	1264
71	97	1252
72	97	1241
73	98	1229
74	98	1218
75	99	1207
76	99	1197
77	100	1186
78	100	1176
79	101	1166
80	101	1156
81	102	1147
82	102	1135
83	103	1126
84	103	1117
85	104	1110
86	105	1102
87	105	1093
88	106	1085
89	106	1077
90	107	1069
91	107	1062
92	108	1054
93	108	1048
94	109	1040
95	109	1034
96	110	1027
97	110	1020
98	111	1014
99	111	1007
100	112	1001
101	113	1000
102	114	996
103	114	990
104	115	984
105	116	982
106	117	982
107	118	977
108	118	972
109	119	966
110	120	962
111	120	958
112	121	953
113	121	948
114	122	943
115	123	938
116	123	932
117	124	927
118	124	922
119	125	917
120	125	912
121	126	906
122	126	902
123	127	897
124	127	893
125	128	889
126	128	884
127	129	880
128	129	876
129	130	872
130	130	868
131	131	864
132	131	860
133	132	857
134	133	854
135	134	851
136	135	853
137	136	852
138	137	848
139	137	845
140	138	841
141	138	836
142	139	833
143	139	829
144	140	826
145	140	822
146	141	822
147	142	820
148	143	818
149	143	814
150	144	811
151	144	808
152	145	804
153	145	801
154	146	798
155	147	796
156	148	795
157	148	792
158	149	789
159	149	786
160	150	782
161	150	779
162	151	776
163	151	773
164	152	770
165	152	768
166	153	765
167	153	762
168	154	759
169	154	756
170	155	753
171	155	750
172	156	748
173	157	745
174	157	742
175	158	740
176	158	737
177	159	734
178	159	732
179	160	729
180	160	727
181	161	725
182	161	722
183	162	720
184	162	717
185	163	715
186	164	713
187	164	710
188	165	708
189	165	705
190	166	703
191	166	701
192	167	698
193	167	696
194	168	695
195	169	694
196	170	693
197	170	691
198	171	690
199	172	688
200	172	685
201	172	683
202	173	680
203	173	678
204	174	678
205	175	675
206	175	673
207	176	670
208	176	668
209	177	665
210	177	663
211	177	661
212	178	658
213	178	656
214	179	653
215	179	651
216	179	649
217	180	646
218	180	644
219	181	641
220	181	639
221	181	637
222	182	634
223	182	632
224	183	630
225	183	628
226	183	626
227	184	624
228	184	621
229	185	619
230	185	617
231	185	615
232	186	613
233	186	611
234	187	609
235	187	607
236	188	605
237	188	603
238	188	601
239	189	599
240	189	597
241	190	595
242	190	594
243	191	592
244	191	590
245	191	588
246	192	586
247	192	584
248	193	582
249	193	580
250	193	578
251	194	576
252	194	574
253	195	573
254	195	571
255	196	570
256	197	570
257	197	569
258	199	569
259	200	569
260	201	570
261	202	570
262	203	570
263	204	569
264	204	568
265	205	566
266	206	567
267	207	565
268	207	564
269	208	562
270	208	561
271	209	559
272	209	557
273	209	555
274	210	554
275	210	552
276	211	551
277	211	549
278	211	547
279	212	545
280	212	544
281	213	542
282	213	540
283	213	539
284	214	537
285	214	535
286	215	534
287	215	532
288	215	531
289	216	530
290	217	529
291	218	530
292	219	528
293	219	527
294	220	527
295	221	526
296	222	525
297	222	524
298	223	523
299	224	523
300	224	522
301	225	521
302	225	519
303	226	518
304	226	516
305	227	515
306	227	513
307	227	512
308	228	510
309	228	509
310	229	507
311	229	506
312	231	507
313	232	507
314	232	506
315	233	504
316	233	503
317	234	502
318	234	500
319	235	499
320	235	498
321	235	496
322	236	495
323	236	493
324	237	492
325	237	490
326	237	489
327	238	487
328	238	486
329	238	485
330	239	483
331	239	482
332	240	481
333	240	480
334	241	478
335	241	477
336	241	476
337	242	474
338	242	473
339	243	472
340	243	471
341	244	469
342	244	468
343	245	467
344	245	465
345	245	464
346	246	463
347	246	461
348	246	460
349	247	459
350	247	457
351	248	456
352	248	455
353	248	454
354	249	452
355	249	451
356	249	450
357	250	449
358	250	447
359	251	446
360	251	445
361	252	444
362	252	443
363	253	442
364	253	440
365	253	439
366	254	438
367	254	437
368	255	436
369	255	434
370	255	433
371	256	432
372	256	431
373	256	430
374	257	428
375	257	427
376	258	426
377	258	425
378	258	424
379	259	423
380	259	421
381	260	420
382	260	419
383	260	418
384	261	417
385	261	416
386	262	415
387	262	414
388	262	413
389	263	412
390	263	411
391	264	410
392	264	409
393	265	408
394	265	407
395	266	406
396	266	405
397	267	404
398	267	403
399	268	402
400	268	401
401	268	400
402	269	398
403	269	397
404	270	396
405	270	395
406	271	394
407	271	394
408	271	392
409	272	391
410	272	390
411	273	389
412	273	388
413	273	387
414	274	386
415	274	385
416	275	384
417	275	383
418	275	382
419	276	381
420	276	380
421	276	379
422	277	378
423	277	377
424	278	376
425	278	375
426	278	374
427	279	373
428	279	372
429	280	371
430	280	370
431	281	369
432	281	368
433	282	367
434	282	367
435	283	366
436	283	365
437	284	364
438	284	363
439	285	362
440	285	361
441	286	361
442	286	360
443	286	359
444	287	358
445	287	357
446	288	356
447	288	355
448	289	355
449	290	354
450	293	357
451	294	356
452	294	355
453	295	354
454	295	354
455	296	353
456	296	352
457	297	351
458	297	351
459	298	350
460	298	349
461	302	352
462	303	351
463	303	350
464	304	350
465	304	349
466	305	348
467	305	347
468	306	346
469	306	345
470	307	345
471	307	344
472	308	343
473	308	342
474	309	341
475	310	341
476	310	340
477	311	339
478	311	338
479	311	337
480	312	336
481	312	336
482	313	335
483	313	334
484	314	334
485	315	333
486	315	332
487	316	331
488	316	331
489	317	330
490	317	329
491	318	328
492	318	327
493	319	327
494	319	326
495	320	325
496	320	324
497	321	323
498	321	323
499	322	322
500	323	321
501	323	321
502	324	320
503	325	319
504	325	319
505	326	318
506	326	317
507	327	316
508	327	316
509	328	315
510	328	314
511	329	313
512	329	312
513	330	312
514	330	311
515	331	310
516	331	309
517	332	309
518	332	308
519	333	307
520	333	306
521	334	306
522	334	305
523	335	304
524	335	303
525	336	302
526	336	302
527	337	301
528	337	300
529	338	299
530	338	299
531	339	298
532	339	297
533	340	296
534	340	296
535	341	295
536	341	294
537	342	293
538	342	293
539	343	292
540	343	291
541	344	290
542	344	290
543	345	289
544	345	288
545	346	287
546	346	287
547	347	286
548	347	285
549	348	284
550	348	284
551	349	283
552	349	282
553	350	281
554	350	281
555	351	280
556	351	279
557	352	279
558	352	278
559	353	277
560	353	276
561	354	276
562	354	275
563	355	274
564	355	273
565	356	273
566	356	272
567	357	271
568	358	271
569	359	270
570	359	270
571	360	269
572	360	268
573	361	268
574	361	267
575	362	266
576	363	266
577	364	265
578	364	265
579	365	264
580	366	264
581	366	263
582	367	263
583	368	262
584	369	262
585	370	261
586	370	260
587	371	260
588	371	259
589	372	258
590	372	258
591	373	257
592	373	256
593	374	255
594	374	254
595	374	254
596	375	253
597	375	252
598	376	252
599	377	251
600	377	250
601	378	250
602	379	249
603	380	249
604	380	248
605	381	248
606	382	247
607	383	247
608	384	246
609	385	246
610	386	246
611	387	245
612	387	244
613	388	244
614	389	243
615	389	242
616	390	242
617	390	241
618	391	240
619	392	240
620	393	240
621	394	239
622	396	239
623	396	238
624	397	238
625	397	237
626	397	236
627	398	235
628	398	235
629	400	234
630	401	234
631	401	233
632	402	233
633	402	232
634	402	231
635	403	230
636	403	230
637	404	229
638	404	228
639	404	227
640	405	226
641	405	226
642	406	225
643	406	224
644	406	223
645	407	223
646	407	222
647	408	221
648	408	220
649	408	220
650	409	219
651	409	218
652	410	217
653	410	217
654	410	216
655	411	215
656	411	214
657	412	214
658	412	213
659	412	212
660	413	211
661	413	211
662	413	210
663	414	209
664	414	208
665	415	208
666	415	207
667	415	206
668	416	206
669	416	205
670	417	204
671	417	203
672	418	203
673	418	202
674	418	201
675	419	200
676	419	200
677	420	199
678	420	198
679	421	198
680	421	197
681	421	196
682	422	196
683	422	195
684	423	194
685	423	193
686	423	193
687	424	192
688	424	191
689	425	191
690	425	190
691	426	189
692	426	188
693	426	188
694	427	187
695	427	186
696	427	186
697	428	185
698	428	184
699	429	183
700	429	183
701	429	182
702	430	181
703	430	181
704	431	180
705	431	179
706	431	179
707	432	178
708	432	177
709	433	176
710	433	176
711	433	175
712	434	174
713	434	174
714	435	173
715	435	172
716	435	172
717	436	171
718	436	170
719	437	170
720	437	169
721	438	168
722	438	168
723	438	167
724	439	166
725	439	165
726	440	165
727	440	164
728	440	163
729	441	163
730	441	162
731	442	161
732	442	161
733	442	160
734	443	159
735	443	159
736	444	158
737	445	157
738	445	157
739	446	156
740	446	156
741	447	155
742	448	155
743	448	154
744	449	153
745	449	153
746	450	152
747	450	151
748	451	151
749	451	150
750	452	149
751	452	149
752	452	148
753	453	147
754	453	147
755	454	146
756	454	145
757	454	145
758	455	144
759	455	143
760	455	143
761	456	142
762	456	141
763	457	141
764	457	140
765	457	139
766	458	139
767	458	138
768	459	137
769	459	137
770	459	136
771	460	135
772	460	135
773	461	134
774	461	134
775	462	133
776	462	132
777	463	132
778	463	131
779	464	130
780	464	130
781	465	129
782	465	129
783	466	128
784	466	127
785	467	127
786	467	126
787	468	125
788	468	125
789	469	124
790	469	124
791	470	123
792	470	122
793	471	122
794	471	121
795	472	120
796	472	120
797	473	119
798	473	119
799	473	118
800	474	117
801	474	117
802	475	116
803	475	116
804	476	115
805	476	114
806	477	114
807	477	113
808	478	112
809	478	112
810	479	111
811	479	111
812	480	110
813	480	109
814	481	109
815	481	108
816	482	107
817	482	107
818	483	106
819	483	106
820	484	105
821	484	104
822	485	104
823	485	103
824	486	103
825	486	102
826	487	101
827	487	101
828	488	100
829	488	100
830	489	99
831	489	98
832	490	98
833	490	97
834	491	97
835	491	96
836	491	95
837	492	95
838	492	94
839	493	93
840	493	93
841	494	92
842	494	92
843	495	91
844	495	90
845	496	90
846	496	89
847	497	89
848	497	88
849	498	87
850	498	87
851	499	86
852	499	86
853	500	85
854	500	84
855	501	84
856	501	83
857	502	83
858	502	82
859	503	81
860	503	81
861	504	80
862	504	80
863	505	79
864	505	78
865	506	78
866	506	77
867	507	77
868	507	76
869	508	75
870	508	75
871	508	74
872	509	74
873	509	73
874	510	72
875	510	72
876	511	71
877	511	71
878	512	70
879	512	69
880	513	69
881	513	68
882	514	68
883	514	67
884	515	66
885	515	66
886	516	65
887	516	65
888	517	64
889	517	63
890	518	63
891	518	62
892	519	62
893	519	61
894	520	61
895	520	60
896	521	59
897	521	59
898	521	58
899	522	58
900	523	57
901	523	56
902	523	56
903	524	55
904	524	55
905	525	54
906	525	53
907	526	53
908	526	52
909	527	52
910	527	51
911	528	50
912	528	50
913	529	49
914	529	49
915	530	48
916	530	48
917	531	47
918	531	46
919	532	46
920	532	45
921	533	45
922	533	44
923	534	43
924	534	43
925	535	42
926	535	42
927	536	41
928	536	41
929	536	40
930	537	39
931	537	39
932	538	38
933	538	38
934	538	37
935	539	36
936	539	36
937	540	35
938	540	35
939	540	34
940	541	33
941	541	33
942	542	32
943	542	32
944	542	31
945	543	31
946	544	30
947	544	29
948	545	29
949	545	28
950	546	28
951	546	27
952	547	26
953	547	26
954	548	25
955	548	25
956	549	24
957	549	24
958	550	23
959	550	22
960	551	22
961	551	21
962	552	21
963	552	20
964	552	20
965	553	19
966	553	18
967	554	18
968	554	17
969	555	17
970	555	16
971	556	16
972	556	15
973	557	14
974	557	14
975	558	13
976	558	13
977	559	12
978	559	12
979	560	11
980	560	10
981	561	10
982	561	9
983	562	9
984	562	8
985	563	7
986	563	7
987	564	6
988	564	6
989	565	5
990	565	5
991	565	4
992	566	3
993	566	3
994	567	2
995	567	2
996	567	1
997	568	1
998	568	0
999	569	0
